Course,Tees,Yardage,Rating,Slope
Village Links 18 Hole,Black,7208,74.9,138
Village Links 18 Hole,Blue,6770,72.9,134
Village Links 18 Hole,White,6382,71.2,130
Village Links 18 Hole,Gold,6004,69.4,126
Village Links 18 Hole,Red,5439,66.8,120
Glen Oak Country Club,Championship,6841,73.2,139
Glen Oak Country Club,Member,6501,71.6,135
TPC Deere Run,Blue,6502,72.3,131
Glen Oak Country Club,Championship,6841,73.2,139
Glen Oak Country Club,Championship,6841,73.2,139
Dubsdread,Blue,6750,74.2,140
Old Wayne Golf Club,Blue,6805,72.2,126
Glen Oak Country Club,Championship,6841,73.2,139
