Round,Course,Hole 1,Hole 2,Hole 3,Hole 4,Hole 5,Hole 6,Hole 7,Hole 8,Hole 9,Hole 10,Hole 11,Hole 12,Hole 13,Hole 14,Hole 15,Hole 16,Hole 17,Hole 18
0,Glen Oak Country Club,S,S,Y,D,R,S,Y,R,D,R,Y,D,Y,S,L,L,Y,R
1,Glen Oak Country Club,S,D,R,Y,R,S,S,L,L,Y,Y,S,S,S,S,L,S,S
2,Village Links 18 Hole,Y,L,Y,S,D,Y,D,Y,L,D,S,Y,S,Y,S,S,S,R
3,Village Links 18 Hole,Y,R,L,Y,Y,Y,S,S,S,S,L,Y,S,L,S,Y,L,Y
4,Klein Creek Golf Club,S,Y,S,L,S,Y,D,D,D,Y,S,D,D,R,Y,Y,S,S
5,TPC Deere Run,S,Y,L,L,S,L,L,S,S,S,S,R,S,Y,Y,S,S,D
6,Glen Oak Country Club,S,S,S,S,Y,L,Y,D,Y,S,Y,L,L,S,Y,Y,Y,L
7,Glen Oak Country Club,S,S,L,S,Y,D,S,Y,S,D,Y,S,Y,S,S,L,S,S
8,Dubsdread,R,Y,Y,L,Y,S,R,S,S,S,D,L,S,Y,Y,S,S,R
9,Old Wayne Golf Club,S,S,S,Y,S,Y,S,Y,S,Y,Y,D,S,D,S,R,S,S
10,Glen Oak Country Club,S,S,Y,D,Y,S,D,D,S,S,D,D,S,S,S,R,L,S
