,Round,Date,Course,Tees,Yardage,Rating,Slope,Low Temp,Hi Temp,Wind,Gusts,Front Nine Score,Back Nine Score,Total Score,Difference,Eagles or Better,Birdies,Pars,Bogies,Doubles or Worse,Fairways,Fairway %,Greens,GIR %,Putts,3 Putts,Par 3 Diff,Par 3 Avg,Par 4 Diff,Par 4 Avg,Par 5 Diff,Par 5 Avg
0,0,04/22/23,Glen Oak Country Club,Member,6501,71.6,135,39,45,8,17,44.0,43.0,87.0,12.89,0.0,1.0,6.0,7.0,4.0,1.0,0.07,5.0,0.28,33.0,1.0,2.0,3.5,12.0,5.2,1.0,5.25
1,1,04/23/23,Glen Oak Country Club,Championship,6841,73.2,139,37,39,5,10,44.0,47.0,91.0,14.47,0.0,0.0,7.0,4.0,7.0,0.0,0.0,3.0,0.17,32.0,0.0,5.0,4.25,12.0,5.2,2.0,5.5
2,2,05/09/23,Village Links 18 Hole,White,6382,71.2,130,60,70,4,7,41.0,42.0,83.0,10.26,0.0,1.0,7.0,8.0,2.0,6.0,0.43,6.0,0.33,32.0,3.0,3.0,3.75,4.0,4.4,4.0,6.0
3,3,05/16/23,Village Links 18 Hole,Blue,6770,72.9,134,60,80,5,15,42.0,45.0,87.0,11.89,0.0,1.0,6.0,8.0,3.0,7.0,0.5,7.0,0.39,35.0,1.0,3.0,3.75,10.0,5.0,2.0,5.5
4,4,05/22/23,Klein Creek Golf Club,Blue,6701,72.8,140,77,80,3,15,50.0,45.0,95.0,17.92,0.0,1.0,4.0,6.0,7.0,8.0,0.57,5.0,0.28,33.0,2.0,7.0,4.75,13.0,5.3,3.0,5.75
5,5,06/01/23,TPC Deere Run,Blue,6502,72.3,131,75,90,3,7,51.0,47.0,98.0,22.17,0.0,0.0,4.0,7.0,7.0,8.0,0.57,3.0,0.17,37.0,3.0,4.0,4.0,18.0,5.64,5.0,6.67
6,6,06/09/23,Glen Oak Country Club,Championship,6841,73.2,139,62,78,3,10,44.0,40.0,84.0,8.78,0.0,1.0,8.0,6.0,3.0,7.0,0.5,7.0,0.39,33.0,2.0,1.0,3.25,10.0,5.0,1.0,5.25
7,7,06/25/23,Glen Oak Country Club,Championship,6841,73.2,139,71,79,15,35,45.0,48.0,93.0,16.1,0.0,1.0,3.0,6.0,8.0,4.0,0.29,4.0,0.22,34.0,2.0,5.0,4.25,11.0,5.1,5.0,6.25
8,8,07/04/23,Dubsdread,Blue,6750,74.2,140,83,90,3,7,42.0,45.0,87.0,10.33,0.0,1.0,6.0,6.0,5.0,3.0,0.21,5.0,0.28,32.0,1.0,3.0,3.75,10.0,5.0,2.0,5.5
9,9,07/11/23,Old Wayne Golf Club,Blue,6805,72.2,126,85,90,5,15,42.0,46.0,88.0,14.17,0.0,2.0,5.0,5.0,6.0,7.0,0.5,5.0,0.28,35.0,3.0,7.0,4.75,4.0,4.4,5.0,6.25
10,10,07/24/23,Glen Oak Country Club,Championship,6841,73.2,139,82,88,5,15,45.0,44.0,89.0,12.84,0.0,0.0,5.0,9.0,4.0,4.0,0.29,2.0,0.11,32.0,0.0,3.0,3.75,10.0,5.0,4.0,6.0
11,11,08/10/23,Glen Oak Country Club,Member,6501,71.6,135,83,86,6,12,43.0,46.0,89.0,14.56,0.0,0.0,7.0,5.0,6.0,5.0,0.36,4.0,0.22,31.0,0.0,4.0,4.0,10.0,5.0,3.0,5.75
