Round,Course,Hole 1,Hole 2,Hole 3,Hole 4,Hole 5,Hole 6,Hole 7,Hole 8,Hole 9,Hole 10,Hole 11,Hole 12,Hole 13,Hole 14,Hole 15,Hole 16,Hole 17,Hole 18
0,Glen Oak Country Club,4,4,3,4,5,3,5,4,4,5,3,4,4,4,4,3,5,4
1,Glen Oak Country Club,4,4,3,4,5,3,5,4,4,5,3,4,4,4,4,3,5,4
2,Village Links 18 Hole,4,5,3,4,4,5,4,3,4,4,3,4,4,4,5,5,3,4
3,Village Links 18 Hole,4,5,3,4,4,5,4,3,4,4,3,4,4,4,5,5,3,4
4,Klein Creek Golf Club,4,4,5,3,4,4,5,3,4,4,5,4,4,3,4,5,3,4
5,TPC Deere Run,4,5,3,4,4,4,3,4,4,5,4,3,4,4,4,3,5,4
6,Glen Oak Country Club,4,4,3,4,5,3,5,4,4,5,3,4,4,4,4,3,5,4
7,Glen Oak Country Club,4,4,3,4,5,3,5,4,4,5,3,4,4,4,4,3,5,4
8,Dubsdread,4,3,4,4,5,3,4,4,5,4,5,3,4,3,5,4,4,4
9,Old Wayne Golf Club,4,4,5,4,3,5,4,3,4,4,4,3,4,5,4,4,3,5
10,Glen Oak Country Club,4,4,3,4,5,3,5,4,4,5,3,4,4,4,4,3,5,4
11,Glen Oak Country Club,4,4,3,4,5,3,5,4,4,5,3,4,4,4,4,3,5,4
