Round,Course,Hole 1,Hole 2,Hole 3,Hole 4,Hole 5,Hole 6,Hole 7,Hole 8,Hole 9,Hole 10,Hole 11,Hole 12,Hole 13,Hole 14,Hole 15,Hole 16,Hole 17,Hole 18
0,Glen Oak Country Club,2,2,2,2,1,2,2,1,2,1,1,2,2,3,2,2,2,2
1,Glen Oak Country Club,2,2,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,1
2,Village Links 18 Hole,1,3,2,2,1,3,1,3,1,2,2,2,1,2,1,1,2,2
3,Village Links 18 Hole,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2
4,Klein Creek Golf Club,2,2,2,1,2,2,1,3,2,2,2,1,1,2,3,1,2,2
5,TPC Deere Run,2,2,2,2,1,2,2,3,2,2,3,1,2,2,3,2,2,2
6,Glen Oak Country Club,2,3,1,1,2,2,2,3,2,2,2,1,2,1,1,2,2,2
7,Glen Oak Country Club,2,1,2,1,2,2,2,2,2,2,1,2,3,3,2,1,2,2
8,Dubsdread,2,2,2,3,1,2,1,1,2,1,1,2,2,2,2,2,2,2
9,Old Wayne Golf Club,0,2,2,1,3,3,1,2,3,2,2,2,2,2,2,2,2,2
10,Glen Oak Country Club,1,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2
