Round,Course,Hole 1,Hole 2,Hole 3,Hole 4,Hole 5,Hole 6,Hole 7,Hole 8,Hole 9,Hole 10,Hole 11,Hole 12,Hole 13,Hole 14,Hole 15,Hole 16,Hole 17,Hole 18
0,Glen Oak Country Club,5,6,3,5,5,5,5,4,6,6,2,5,4,7,5,4,5,5
1,Glen Oak Country Club,6,5,5,4,5,5,5,5,4,5,3,7,5,6,6,4,7,4
2,Village Links 18 Hole,3,7,3,6,4,6,4,4,4,5,4,4,5,4,6,5,4,5
3,Village Links 18 Hole,5,6,4,4,4,5,5,4,5,6,4,4,8,5,7,4,3,4
4,Klein Creek Golf Club,8,4,7,4,8,4,5,5,5,4,7,5,5,5,5,4,5,5
5,TPC Deere Run,6,5,4,10,4,5,5,7,5,7,6,3,5,4,5,4,8,5
6,Glen Oak Country Club,5,6,3,5,5,4,5,7,4,6,3,4,5,5,3,3,5,6
7,Glen Oak Country Club,5,5,5,4,5,5,7,4,5,6,2,5,5,6,6,5,7,6
8,Dubsdread,5,3,4,6,4,5,4,5,6,4,7,4,5,3,5,6,6,5
9,Old Wayne Golf Club,3,5,7,3,6,5,4,3,6,4,4,5,5,7,5,5,5,6
10,Glen Oak Country Club,6,5,3,5,5,5,7,5,4,6,4,5,4,5,5,3,6,6
